,Course,URL,CourseDescription,Department
76,CFRS 763,http://catalog.gmu.edu/search/?scontext=courses&search=CFRS+763,"Presents the concepts, tools, and techniques used for forensic collection, identification, and analysis of the Windows registry; review the structure and layout of the Windows registry and be introduced to the types of artifacts that can be found within; evaluate and interpret data from the Windows registry with emphasis on hand-on exercises. Notes: Course will consist of exercises conducted in a lab environment with concurrent lectures (combined total of 3 credits for lab and lecture exercises). Offered by Electrical & Computer Engineer. May not be repeated for credit.",CFRS
77,CFRS 764,http://catalog.gmu.edu/search/?scontext=courses&search=CFRS+764,Presents the basic tools and techniques used to conduct a Mac and iOS forensic analysis. Application of industry best practices to both the collection and subsequent analysis of Mac iOS systems with an emphasis on hands-on exercises using currently available open-source and commercial tools. Notes: Course will consist of exercises conducted in a lab environment with concurrent lectures (combined total of 3 credits for lab and lecture exercises). Offered by Electrical & Computer Engineer. May not be repeated for credit.,CFRS
78,CFRS 767,http://catalog.gmu.edu/search/?scontext=courses&search=CFRS+767,"Presents the concepts, tools, and techniques used for penetration testing, vulnerability exploitation, assessment, reporting, and forensics; teaches multiple attack vectors as well as the defensive measures protecting against such attacks; focuses heavily on post attack forensics allowing for a complete picture of the attack process. Notes: Course will consist of exercises conducted in a lab environment with concurrent lectures (combined total of 3 credits for lab and lecture exercises). Offered by Electrical & Computer Engineer. May not be repeated for credit.",CFRS
79,CFRS 768,http://catalog.gmu.edu/search/?scontext=courses&search=CFRS+768,"Presents concepts of forensic attribution, context, and motivations behind computer attacks including those tied to cyber warfare and cyber terrorism activities. Tactics, techniques, and procedures of current cyber-attacks will be addressed. Offered by Electrical & Computer Engineer. May not be repeated for credit.",CFRS
80,CFRS 780,http://catalog.gmu.edu/search/?scontext=courses&search=CFRS+780,Teaches advanced topics from recent developments and applications in various areas of computer forensics. Enhances the professional engineering community's understanding of breakthrough developments in specific areas of computer forensics. Active participation of the students is encouraged in the form of writing and presenting papers in various research areas of the advanced topic. Offered by Electrical & Computer Engineer. May be repeated within the term for a maximum 6 credits.,CFRS
81,DAEN 698,http://catalog.gmu.edu/search/?scontext=courses&search=DAEN+698,Conduct a research project to be chosen and completed under guidance of a graduate faculty member that results in an acceptable technical report. Notes: No more than a total of three credits may be taken from within the DAEN program. Offered by Volgenau School of Engineering. May be repeated within the term for a maximum 3 credits.,DAEN
82,CS 112,http://catalog.gmu.edu/search/?scontext=courses&search=CS+112,"Rigorous introduction to problem solving through development of computer programs. Focuses on identifying algorithmic patterns in problems, describing problem solutions in high-level pseudocode, then implementing in a procedural programming language. Basic programming concepts are covered in detail including expressions, control structures, simple data types, and input/output. Program testing and debugging are discussed to verify that problems are solved correctly. Note: The department will drop students who fail to meet the prerequisites. Lectures and Labs are offered in groups. Students MUST register for a lecture and a lab from the same group. Offered by Computer Science. Limited to two attempts.",CS
83,MATH 113,http://catalog.gmu.edu/search/?scontext=courses&search=MATH+113,"Functions, limits, the derivative, maximum and minimum problems, the integral, and transcendental functions. Offered by Mathematics. May not be repeated for credit. Equivalent to MATH 115, MATH 123, MATH 124.",MATH
84,STAT 344,http://catalog.gmu.edu/search/?scontext=courses&search=STAT+344,"Introduction to probability and statistics with applications to computer science, engineering, operations research, and information technology. Basic concepts of probability, random variables and expectation, Poisson process, bivariate distributions, sums of independent random variables, central limit theorem, sampling distributions, maximum likelihood and unbiased estimators, confidence interval construction, and hypothesis testing. Offered by Statistics. Limited to two attempts. Equivalent to MATH 351.",STAT
85,SYST/OR 538,http://catalog.gmu.edu/search/?scontext=courses&search=SYST/OR+538,Conduct a research project to be chosen and completed under guidance of a graduate faculty member that results in an acceptable technical report. Notes: No more than a total of three credits may be taken from within the DAEN program. Offered by Volgenau School of Engineering. May be repeated within the term for a maximum 3 credits.,SYST/OR
86,SYST/OR 588,http://catalog.gmu.edu/search/?scontext=courses&search=SYST/OR+588,"Study of analytic techniques for rational decision making that address uncertainty, conflicting objectives, and risk attitudes. Covers modeling uncertainty; rational decision-making principles; representing decision problems with value trees, decision trees, and influence diagrams; solving value hierarchies, decision trees, and influence diagrams; defining and calculating the value of information; incorporating risk attitudes into the analysis; and conducting sensitivity analysis. Note: Students may not receive credit for both SYST 473 and 573. Offered by Systems Engr & Operations Rsch. May not be repeated for credit. Equivalent to OR 681.",SYST/OR
87,SYST/OR 688,http://catalog.gmu.edu/search/?scontext=courses&search=SYST/OR+688,"Introduces decision theory and relationship to Bayesian statistical inference. Teaches commonalities, differences between Bayesian and frequentist approaches to statistical inference, how to approach statistics problem, and how to combine data with informed expert judgment to derive useful and policy relevant conclusions. Teaches theory to develop understanding of when and how to apply Bayesian and frequentist methods; and practical procedures for inference, hypothesis testing, and developing statistical models for phenomena. Teaches fundamentals of Bayesian theory of inference, including probability as a representation for degrees of belief, likelihood principle, use of Bayes Rule to revise beliefs based on evidence, conjugate prior distributions for common statistical models, and methods for approximating the posterior distribution. Introduces graphical models for constructing complex probability and decision models from modular components. Offered by Systems Engr & Operations Rsch. May not be repeated for credit. Equivalent to CSI 674, STAT 664.",SYST/OR
88,DAEN 698,http://catalog.gmu.edu/search/?scontext=courses&search=DAEN+698,"Survey of optimization methods for students whose main focus is on application of optimization. Covers modeling, search methods, convexity, linear programming, sensitivity, networks, multiobjective optimization, heuristic methods, integer programming, nonlinear programming and dynamic programming; use of modeling languages and optimization tools, including NEOS. Notes: Course cannot be counted toward MSOR degree. Students who have taken OR 541 or 644 cannot receive credit. Offered by Systems Engr & Operations Rsch. May not be repeated for credit.",DAEN
89,SYST/OR 568,http://catalog.gmu.edu/search/?scontext=courses&search=SYST/OR+568,"Selected applied probability models including Poisson processes, discrete- and continuous-time Markov chains, renewal and regenerative processes, semi-Markov processes, queuing and inventory systems, reliability theory, and stochastic networks. Emphasis on applications in practice as well as analytical models. Offered by Systems Engr & Operations Rsch. May not be repeated for credit. Equivalent to STAT 645.",SYST/OR
90,SYST 573,http://catalog.gmu.edu/search/?scontext=courses&search=SYST+573,"Students learn to manipulate large databases, create link table queries, write SQL application programs, understand sources of data conflicts, and identify methods of integrating ODBC databases with legacy data. Covers data warehousing, methods of analyzing large databases, including Bayesian belief networks and machine learning in health care context. Features semester long data integration group project. Offered by Health Administration & Policy. May not be repeated for credit.",SYST
91,SYST 664,http://catalog.gmu.edu/search/?scontext=courses&search=SYST+664,"Provides students with hands-on experience with data from electronic health records. Introduces students to causal analysis of observational data, including propensity scoring and stratification. Provides students with access to simulated data from electronic health records. Exposes students to trends that influence the quality management system and drivers for change, including measures used by CMS to strengthen value based payment. Offered by Health Administration & Policy. May not be repeated for credit.",SYST
92,SYST/OR 671,http://catalog.gmu.edu/search/?scontext=courses&search=SYST/OR+671,"An introductory course to data mining and knowledge discovery in health care. Methods for mining health care databases and synthesizing task-oriented knowledge from computer data and prior knowledge are emphasized. Topics include fundamental concepts of datamining, data preprocessing, classification and prediction (decision trees, attributional rules, Bayesian networks), constructive induction, cluster and association analysis, knowledge representation and visualization, and an overview of practical tools for discovering knowledge from medical data. These topics are illustrated by examples of practical applications in health care. Offered by Health Administration & Policy. May not be repeated for credit.",SYST/OR
93,OR 604,http://catalog.gmu.edu/search/?scontext=courses&search=OR+604,Provides the knowledge and skills needed to analyze health data using modern tools. Describes analytics of administrative and clinical data. Covers concepts and tools for big data analvtics and NoSQL data analytics. Offered by Health Administration & Policy. May not be repeated for credit.,OR
94,OR 645,http://catalog.gmu.edu/search/?scontext=courses&search=OR+645,Conduct a research project to be chosen and completed under guidance of a graduate faculty member that results in an acceptable technical report. Notes: No more than a total of three credits may be taken from within the DAEN program. Offered by Volgenau School of Engineering. May be repeated within the term for a maximum 3 credits.,OR
95,HAP 720,http://catalog.gmu.edu/search/?scontext=courses&search=HAP+720,"Explores the challenges of representing health care data using standardized vocabulary in health information systems. Topics include data standards and semantics, policy, and theory and practice of standardization. Offered by Health Administration & Policy. May not be repeated for credit.",HAP
96,HAP 725,http://catalog.gmu.edu/search/?scontext=courses&search=HAP+725,Covers principles and methods of statistical data analysis and inference. Emphasizes the use and application of various data analysis techniques and their assumptions. Computer outputs will be used to demonstrate the application of statistical techniques in analyzing health related data sets. Offered by Health Administration & Policy. May not be repeated for credit.,HAP
97,HAP 780,http://catalog.gmu.edu/search/?scontext=courses&search=HAP+780,"Students analyze practice patterns and find optimal methods of improving them. Uses decision analysis and failure mode analysis in health care settings. Students integrate scientific evidence, patients' preferences, and experts' opinions to identify optimal alternatives. Offered by Health Administration & Policy. May not be repeated for credit.",HAP
98,HAP 880,http://catalog.gmu.edu/search/?scontext=courses&search=HAP+880,"Introduces the complex subject of medical decision making. Examines systematic approaches to decision making. Explores principles governing the design, application, and maintenance of clinical decision support systems. Laboratory time provides learning experience in various applied situations. Offered by Health Administration & Policy. May not be repeated for credit.",HAP
99,DAEN 698,http://catalog.gmu.edu/search/?scontext=courses&search=DAEN+698,Covers principles and methods of advanced statistical data analysis and inference with applications in health services research. Emphasizes the use and application of various data analysis techniques. including multivariate statistics. regression and longitudinal data analysis. Use of statistical software STATA demonstrates the application of statistical techniques in analyzing health related data sets. Offered by Health Administration & Policy. May not be repeated for credit.,DAEN
100,HAP 701,http://catalog.gmu.edu/search/?scontext=courses&search=HAP+701,"Applies linear and logistic regression to analysis of comparative cost and effectiveness using massive data in electronic health records. Emphasizes (1) ridge regression and (2) propensity scores. Covers the following topics: (1) counterfactual framework and assumptions, (2) data balancing, (3) matching or weighting, and (4) sensitivity analysis. Offered by Health Administration & Policy. May not be repeated for credit.",HAP
101,HAP 719,http://catalog.gmu.edu/search/?scontext=courses&search=HAP+719,"Rigorous introduction to problem solving through development of computer programs. Focuses on identifying algorithmic patterns in problems, describing problem solutions in high-level pseudocode, then implementing in a procedural programming language. Basic programming concepts are covered in detail including expressions, control structures, simple data types, and input/output. Program testing and debugging are discussed to verify that problems are solved correctly. Note: The department will drop students who fail to meet the prerequisites. Lectures and Labs are offered in groups. Students MUST register for a lecture and a lab from the same group. Offered by Computer Science. Limited to two attempts.",HAP
102,HAP 730,http://catalog.gmu.edu/search/?scontext=courses&search=HAP+730,"Functions, limits, the derivative, maximum and minimum problems, the integral, and transcendental functions. Offered by Mathematics. May not be repeated for credit. Equivalent to MATH 115, MATH 123, MATH 124.",HAP
103,HAP 770,http://catalog.gmu.edu/search/?scontext=courses&search=HAP+770,"Introduction to probability and statistics with applications to computer science, engineering, operations research, and information technology. Basic concepts of probability, random variables and expectation, Poisson process, bivariate distributions, sums of independent random variables, central limit theorem, sampling distributions, maximum likelihood and unbiased estimators, confidence interval construction, and hypothesis testing. Offered by Statistics. Limited to two attempts. Equivalent to MATH 351.",HAP
104,HAP 819,http://catalog.gmu.edu/search/?scontext=courses&search=HAP+819,"Survey of optimization methods for students whose main focus is on application of optimization. Covers modeling, search methods, convexity, linear programming, sensitivity, networks, multiobjective optimization, heuristic methods, integer programming, nonlinear programming and dynamic programming; use of modeling languages and optimization tools, including NEOS. Notes: Course cannot be counted toward MSOR degree. Students who have taken OR 541 or 644 cannot receive credit. Offered by Systems Engr & Operations Rsch. May not be repeated for credit.",HAP
105,HAP 823,http://catalog.gmu.edu/search/?scontext=courses&search=HAP+823,"Studies design of computerized systems to support individual or organizational decisions. Teaches systems engineering approach to decision support system (DSS) development. DSS is end product of development process, and process is key to successfully integrating DSS into organization. Any DSS is built on a theory (usually implicit) of what makes for successful decision support in given context. Empirical evaluation of specific DSS and the underlying theory should be carried on throughout development process. Course examines prevailing theories of decision support, considers issues in obtaining empirical validation for theory, and discusses empirical support that exists for theories considered. Students design decision support system for semester project. Offered by Systems Engr & Operations Rsch. May not be repeated for credit.",HAP
106,CS 112,http://catalog.gmu.edu/search/?scontext=courses&search=CS+112,"Introduces predictive analytics with applications in engineering, business, and econometrics. Topics include time series and cross-sectional data processing, correlation, linear and multiple regressions, time series decomposition, predictive modeling and case study. Provides a foundation of basic theory and methodology with applied examples to analyze large engineering and econometric data for predictive decision making. Hands-on experiments with R will be emphasized. Offered by Systems Engr & Operations Rsch. May not be repeated for credit. Equivalent to OR 568.",CS
107,MATH 113,http://catalog.gmu.edu/search/?scontext=courses&search=MATH+113,"Introduces predictive analytics with applications in engineering, business, and econometrics. Topics include time series and cross-sectional data processing, correlation, linear and multiple regressions, time series decomposition, predictive modeling and case study. Provides a foundation of basic theory and methodology with applied examples to analyze large engineering and econometric data for predictive decision making. Hand-on experiments with R will be emphasized. Offered by Systems Engr & Operations Rsch. May not be repeated for credit. Equivalent to SYST 568.",MATH
108,STAT 344,http://catalog.gmu.edu/search/?scontext=courses&search=STAT+344,"Study of analytic techniques for rational decision making that address uncertainty, conflicting objectives, and risk attitudes. Covers modeling uncertainty; rational decision-making principles; representing decision problems with value trees, decision trees, and influence diagrams; solving value hierarchies, decision trees, and influence diagrams; defining and calculating the value of information; incorporating risk attitudes into the analysis; and conducting sensitivity analysis. Note: Students may not receive credit for both SYST 473 and 573. Offered by Systems Engr & Operations Rsch. May not be repeated for credit. Equivalent to OR 681.",STAT
109,OR 604,http://catalog.gmu.edu/search/?scontext=courses&search=OR+604,Conduct a research project to be chosen and completed under guidance of a graduate faculty member that results in an acceptable technical report. Notes: No more than a total of three credits may be taken from within the DAEN program. Offered by Volgenau School of Engineering. May be repeated within the term for a maximum 3 credits.,OR
110,SYST 542,http://catalog.gmu.edu/search/?scontext=courses&search=SYST+542,"Cover topics in the applied analysis of sports, with a focus on supporting team decision-makers. Students will learn to apply modern, practical analytic techniques to sports data in search of actionable insight and a competitive edge. The four major team sports of North America (football, baseball, basketball, and hockey) will be the primary subjects of study, but the course's learning objectives will universally apply to a variety of sports. Students will become familiar with the full analytic life-cycle: asking productive and relevant research questions, finding the right data, applying the appropriate tools, discovering insight, and clearly communicating results. Offered by Systems Engr & Operations Rsch. May not be repeated for credit.",SYST
111,SYST 568,http://catalog.gmu.edu/search/?scontext=courses&search=SYST+568,"Introduces statistical graphics that show distribution features and functional relationships in the presence of noise. Introduces cognitive research guidance for graphics design and reasoning. Stresses quantitative comparisons from multiple perspectives. Features new micromaps designs for spatial and temporal comparisons. Introduces R, the grammar of graphics, and dynamic graphics software. Offered by Statistics. May not be repeated for credit. Equivalent to CSI 773.",SYST
112,OR 568,http://catalog.gmu.edu/search/?scontext=courses&search=OR+568,"Introduces the organizational, economic, technological and societal factors (POETS) that apply to the development of large-scale, complex mega-systems, and shows that ""one size does not fit all"" when it comes to the project management of mega-systems. Notes: Course cannot be applied for credit towards the MS in Systems Engineering degree. Offered by Systems Engr & Operations Rsch. May not be repeated for credit.",OR
113,SYST 573,http://catalog.gmu.edu/search/?scontext=courses&search=SYST+573,"Introduces the theory, design and implementation of multi-source information fusion systems in various domains. The course covers distinct technologies for combining data from multiple, heterogeneous sources and performing inferences in support to applications such as cyber security, Semantic Web, decision support systems, situational awareness, intrusion detection, crisis management, and others. The technical content is largely multi-disciplinary, encompassing disciplines such as knowledge engineering, ontologies, statistical learning, artificial intelligence, and data mining. Offered by Systems Engr & Operations Rsch. May not be repeated for credit.",SYST
114,DAEN 698,http://catalog.gmu.edu/search/?scontext=courses&search=DAEN+698,"Introduces decision theory and relationship to Bayesian statistical inference. Teaches commonalities, differences between Bayesian and frequentist approaches to statistical inference, how to approach statistics problem, and how to combine data with informed expert judgment to derive useful and policy relevant conclusions. Teaches theory to develop understanding of when and how to apply Bayesian and frequentist methods; and practical procedures for inference, hypothesis testing, and developing statistical models for phenomena. Teaches fundamentals of Bayesian theory of inference, including probability as a representation for degrees of belief, likelihood principle, use of Bayes Rule to revise beliefs based on evidence, conjugate prior distributions for common statistical models, and methods for approximating the posterior distribution. Introduces graphical models for constructing complex probability and decision models from modular components. Offered by Systems Engr & Operations Rsch. May not be repeated for credit. Equivalent to CSI 674, STAT 664.",DAEN
115,OR 603,http://catalog.gmu.edu/search/?scontext=courses&search=OR+603,"Course on the theory and practice of metaheuristics, i.e. solution search techniques for solving combinatorial optimization problems. It will introduce the theory, applications (scheduling in manufacturing, transportation, and in other engineering and service industries), and computational aspects of directly searching for solutions to solve computationally complex optimization problems without a well-defined analytical model. Offered by Systems Engr & Operations Rsch. May not be repeated for credit. Equivalent to OR 670.",OR
116,STAT 663,http://catalog.gmu.edu/search/?scontext=courses&search=STAT+663,"Course on the theory and practice of metaheuristics, i.e. solution search techniques for solving combinatorial optimization problems. It will introduce the theory, applications (scheduling in manufacturing, transportation, and in other engineering and service industries), and computational aspects of directly searching for solutions to solve computationally complex optimization problems without a well-defined analytical model. Offered by Systems Engr & Operations Rsch. May not be repeated for credit. Equivalent to SYST 670.",STAT
117,SYST 508,http://catalog.gmu.edu/search/?scontext=courses&search=SYST+508,"Systems of linear equations, linear independence, linear transformations, inverse of a matrix, determinants, vector spaces, eigenvalues, eigenvectors, and orthogonalization. Offered by Mathematics. May not be repeated for credit.",SYST
118,SYST 584,http://catalog.gmu.edu/search/?scontext=courses&search=SYST+584,"Partial differentiation, multiple integrals, line and surface integrals, and three-dimensional analytic geometry. Offered by Mathematics. May not be repeated for credit. Equivalent to MATH 215.",SYST
119,SYST 664,http://catalog.gmu.edu/search/?scontext=courses&search=SYST+664,"Introduction to probability with applications to electrical and computer engineering, operations research, information technology, and economics. Basic concepts of probability, conditional probability, random variables and moments, specific probability distributions, multivariate distributions, moment-generating functions, limit theorems, and sampling distributions. Offered by Statistics. Limited to two attempts.",SYST
120,SYST 670,http://catalog.gmu.edu/search/?scontext=courses&search=SYST+670,"Random variables, probability functions, special distributions, and limit theorems. Offered by Mathematics. May not be repeated for credit. Equivalent to STAT 344.",SYST
121,OR 670,http://catalog.gmu.edu/search/?scontext=courses&search=OR+670,"The axioms of probability, conditional probability, random variables and expectation, multivariate and conditional distributions, conditional expectation, order statistics, transformations, moment generating functions, special distributions, limit theorems. Offered by Statistics. May not be repeated for credit.",OR
122,MATH 203,http://catalog.gmu.edu/search/?scontext=courses&search=MATH+203,"Application of basic statistical techniques. Focus is on the problem (data analysis) rather than on the theory. Topics include descriptive statistics; exploratory data analysis; sampling distributions; one- and two-sample tests and confidence intervals for means, medians, proportions, and variances; and goodness-of-fit tests. Normal theory is introduced first with discussion of what happens when assumptions break down. Alternative robust and nonparametric techniques are presented. Notes: Certificate program students granted credit for only one of STAT 535 or 554. Offered by Statistics. May not be repeated for credit.",MATH
123,MATH 213,http://catalog.gmu.edu/search/?scontext=courses&search=MATH+213,Conduct a research project to be chosen and completed under guidance of a graduate faculty member that results in an acceptable technical report. Notes: No more than a total of three credits may be taken from within the DAEN program. Offered by Volgenau School of Engineering. May be repeated within the term for a maximum 3 credits.,MATH
124,STAT 346,http://catalog.gmu.edu/search/?scontext=courses&search=STAT+346,"Overview of statistical principles of modeling. Topics include methods for analyzing data based on generalized linear models and diagnostic methods for assessing the assumptions of such models. Methods covered include multiple regression, analysis of variance, simultaneous inference, logistic response models, and hierarchical log linear models for contingency tables. Offered by Statistics. May not be repeated for credit.",STAT
125,MATH 351,http://catalog.gmu.edu/search/?scontext=courses&search=MATH+351,"Standard techniques of applied multivariate analysis. Topics include review of matrices, multivariate normal theory, principal components, canonical correlation, classification, factor analysis, clustering, and multidimensional scaling. Applications to data analytics. Computer implementation via a statistical package is an integral part of the course. Offered by Statistics. May not be repeated for credit.",MATH
126,STAT 544,http://catalog.gmu.edu/search/?scontext=courses&search=STAT+544,"Introduces statistical graphics that show distribution features and functional relationships in the presence of noise. Introduces cognitive research guidance for graphics design and reasoning. Stresses quantitative comparisons from multiple perspectives. Features new micromaps designs for spatial and temporal comparisons. Introduces R, the grammar of graphics, and dynamic graphics software. Offered by Statistics. May not be repeated for credit. Equivalent to CSI 773.",STAT
127,STAT 554,http://catalog.gmu.edu/search/?scontext=courses&search=STAT+554,The course focuses on statistical learning theory by introducing the statistical and optimization background essential for understanding statistical learning algorithms. Also discusses applications of statistical learning algorithms to the solution of important problems in many areas of science. Offered by Statistics. May not be repeated for credit.,STAT
128,DAEN 698,http://catalog.gmu.edu/search/?scontext=courses&search=DAEN+698,Conduct a research project to be chosen and completed under guidance of a graduate faculty member that results in an acceptable technical report. Notes: No more than a total of three credits may be taken from within the DAEN program. Offered by Volgenau School of Engineering. May be repeated within the term for a maximum 3 credits.,DAEN
129,STAT 654,http://catalog.gmu.edu/search/?scontext=courses&search=STAT+654,"Overview of statistical principles of modeling. Topics include methods for analyzing data based on generalized linear models and diagnostic methods for assessing the assumptions of such models. Methods covered include multiple regression, analysis of variance, simultaneous inference, logistic response models, and hierarchical log linear models for contingency tables. Offered by Statistics. May not be repeated for credit.",STAT
130,STAT 662,http://catalog.gmu.edu/search/?scontext=courses&search=STAT+662,"Standard techniques of applied multivariate analysis. Topics include review of matrices, multivariate normal theory, principal components, canonical correlation, classification, factor analysis, clustering, and multidimensional scaling. Applications to data analytics. Computer implementation via a statistical package is an integral part of the course. Offered by Statistics. May not be repeated for credit.",STAT
131,STAT 663,http://catalog.gmu.edu/search/?scontext=courses&search=STAT+663,"Introduces statistical graphics that show distribution features and functional relationships in the presence of noise. Introduces cognitive research guidance for graphics design and reasoning. Stresses quantitative comparisons from multiple perspectives. Features new micromaps designs for spatial and temporal comparisons. Introduces R, the grammar of graphics, and dynamic graphics software. Offered by Statistics. May not be repeated for credit. Equivalent to CSI 773.",STAT
132,STAT 672,http://catalog.gmu.edu/search/?scontext=courses&search=STAT+672,The course focuses on statistical learning theory by introducing the statistical and optimization background essential for understanding statistical learning algorithms. Also discusses applications of statistical learning algorithms to the solution of important problems in many areas of science. Offered by Statistics. May not be repeated for credit.,STAT
